Country,Region,Gross National Income (GNI),Sex,Indicator,2013,2014,2015,2016,2017,2018
Mauritius,Sub Saharan Africa,Upper-Middle,female,Proportion of women in managerial positions,32.6,NaN,28.9,30.6,30.1,NaN
Mauritius,Sub Saharan Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,8.3,12,10,NaN,NaN
Mauritius,Sub Saharan Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,28.9,27.3,27.8,29.5,30.8,NaN
Mauritius,Sub Saharan Africa,Upper-Middle,female,Share of female judges,58,59,61,NaN,NaN,NaN
Mauritius,Sub Saharan Africa,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Mexico,Americas,Upper-Middle,female,Political Empowerment Score,0.2463,NaN,NaN,NaN,NaN,NaN
Mexico,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),36.8,37.4,42.4,42.4,42.6,48.2
Mexico,Americas,Upper-Middle,female,Proportion of women in managerial positions,35,35.4,36,36,36.7,NaN
Mexico,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,17.6,17.6,15.8,NaN,NaN
Mexico,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,34.9,35.3,34.8,35.2,36.4,NaN
Mexico,Americas,Upper-Middle,female,Share of female judges,32,35,36,NaN,NaN,NaN
Mexico,Americas,Upper-Middle,female,Share of female police officers,14,13,14,NaN,NaN,NaN
Republic of Moldova,Post-communist,Lower-Middle,female,Political Empowerment Score,0.1043,NaN,NaN,NaN,NaN,NaN
Republic of Moldova,Post-communist,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),19.8,17.8,21.8,21.8,22.8,22.8
Republic of Moldova,Post-communist,Lower-Middle,female,Proportion of women in managerial positions,39.2,42.9,46.4,46.8,42,NaN
Republic of Moldova,Post-communist,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,27.8,27.8,22.2,NaN,NaN
Republic of Moldova,Post-communist,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Republic of Moldova,Post-communist,Lower-Middle,female,Share of female judges,NaN,45,NaN,NaN,NaN,NaN
Republic of Moldova,Post-communist,Lower-Middle,female,Share of female police officers,9,14,NaN,NaN,NaN,NaN
Mongolia,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.0734,NaN,NaN,NaN,NaN,NaN
Mongolia,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),14.9,14.9,14.5,17.1,17.1,17.1
Mongolia,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,41.3,38,40.6,40.8,42.5,NaN
Mongolia,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,16.7,11.1,13.3,NaN,NaN
Mongolia,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,37.3,34.2,37.8,36.7,40,NaN
Mongolia,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Mongolia,Asia Pacific,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Montenegro,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),16,17.3,17.3,23.5,23.5,23.5
Montenegro,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,25.4,26.7,22.3,29.4,22.1,NaN
Montenegro,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,16.7,16.7,20,NaN,NaN
Montenegro,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,22.7,24.6,17.6,24.9,25.4,NaN
Montenegro,Post-communist,Upper-Middle,female,Share of female judges,56,57,58,NaN,NaN,NaN
Montenegro,Post-communist,Upper-Middle,female,Share of female police officers,9,9,9,NaN,NaN,NaN
Montenegro,Post-communist,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Morocco,Middle East and North Africa,Lower-Middle,female,Political Empowerment Score,0.072,NaN,NaN,NaN,NaN,NaN
Morocco,Middle East and North Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),17,17,17,20.5,20.5,20.5
Morocco,Middle East and North Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Morocco,Middle East and North Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,NaN,15.8,13,NaN,NaN
Morocco,Middle East and North Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Morocco,Middle East and North Africa,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Morocco,Middle East and North Africa,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Mozambique,Sub Saharan Africa,Low,female,Political Empowerment Score,0.3533,NaN,NaN,NaN,NaN,NaN
Mozambique,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),39.2,NaN,39.6,39.6,39.6,39.6
Mozambique,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,24.3,NaN,NaN,NaN
Mozambique,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,28.6,28.6,23.8,NaN,NaN
Mozambique,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,22.2,NaN,NaN,NaN
Mozambique,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Mozambique,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Myanmar,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),6,5.6,12.7,9.9,10.2,10.2
Myanmar,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,28.4,NaN,35.6,NaN
Myanmar,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,2.6,5.3,5,NaN,NaN
Myanmar,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,28.3,NaN,31.5,NaN
Myanmar,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Myanmar,Asia Pacific,Lower-Middle,female,Share of female police officers,4,4,6,NaN,NaN,NaN
Myanmar,Asia Pacific,Lower-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Namibia,Sub Saharan Africa,Upper-Middle,female,Political Empowerment Score,0.1727,NaN,NaN,NaN,NaN,NaN
Namibia,Sub Saharan Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),24.4,NaN,41.3,41.3,41.3,46.2
Namibia,Sub Saharan Africa,Upper-Middle,female,Proportion of women in managerial positions,42.6,44,NaN,39.9,NaN,NaN
Namibia,Sub Saharan Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,21.7,21.7,24,NaN,NaN
Namibia,Sub Saharan Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,48.5,46.7,NaN,48.6,NaN,NaN
Namibia,Sub Saharan Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Namibia,Sub Saharan Africa,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Nepal,Asia Pacific,Low,female,Political Empowerment Score,0.1989,NaN,NaN,NaN,NaN,NaN
Nepal,Asia Pacific,Low,female,Proportion of seats held by women in national parliaments (%),33.2,29.5,29.5,29.6,29.6,32.7
Nepal,Asia Pacific,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Nepal,Asia Pacific,Low,female,Proportion of women in ministerial level positions (%),NaN,NaN,13.6,3.7,NaN,NaN
Nepal,Asia Pacific,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Nepal,Asia Pacific,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Nepal,Asia Pacific,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Netherlands,Europe,High,female,Political Empowerment Score,0.3191,NaN,NaN,NaN,NaN,NaN
Netherlands,Europe,High,female,Proportion of seats held by women in national parliaments (%),38.7,38.7,37.3,37.3,36,36
Netherlands,Europe,High,female,Proportion of women in managerial positions,24.6,25.5,26,25.4,26.6,NaN
Netherlands,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,46.7,46.7,37.5,NaN,NaN
Netherlands,Europe,High,female,Proportion of women in senior and middle management positions,23.1,24.1,24.5,24.4,26,NaN
Netherlands,Europe,High,female,Share of female judges,56,56,56,NaN,NaN,NaN
Netherlands,Europe,High,female,Share of female police officers,30,30,30,NaN,NaN,NaN
New Caledonia,Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,NaN,NaN,NaN
New Caledonia,Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,NaN,NaN,NaN,NaN,NaN
New Caledonia,Asia Pacific,High,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
New Caledonia,Asia Pacific,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
New Caledonia,Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
New Caledonia,Asia Pacific,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
New Caledonia,Asia Pacific,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
New Zealand,Asia Pacific,High,female,Political Empowerment Score,0.3703,NaN,NaN,NaN,NaN,NaN
New Zealand,Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),32.2,29.8,31.4,31.4,34.2,38.3
New Zealand,Asia Pacific,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
New Zealand,Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,29.6,33.3,37,NaN,NaN
New Zealand,Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
New Zealand,Asia Pacific,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
New Zealand,Asia Pacific,High,female,Share of female police officers,18,NaN,NaN,NaN,NaN,NaN
Nicaragua,Americas,Lower-Middle,female,Political Empowerment Score,0.4889,NaN,NaN,NaN,NaN,NaN
Nicaragua,Americas,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),40.2,42.4,41.3,41.3,45.7,45.7
Nicaragua,Americas,Lower-Middle,female,Proportion of women in managerial positions,NaN,35.2,NaN,NaN,NaN,NaN
Nicaragua,Americas,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,57.1,47.1,52.9,NaN,NaN
Nicaragua,Americas,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,53.7,NaN,NaN,NaN,NaN
Nicaragua,Americas,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Nicaragua,Americas,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Niger,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),13.3,13.3,13.3,14.6,17,17
Niger,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,12.9,12.9,16.2,NaN,NaN
Niger,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Niger,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Niger,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Niger,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Niger,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Nigeria,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.119,NaN,NaN,NaN,NaN,NaN
Nigeria,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),6.7,6.7,5.6,5.6,5.6,5.6
Nigeria,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,30.3,NaN,NaN,21.5,NaN,NaN
Nigeria,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,25,24.1,12,NaN,NaN
Nigeria,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Nigeria,Sub Saharan Africa,Lower-Middle,female,Share of female judges,20,NaN,NaN,NaN,NaN,NaN
Nigeria,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,9,NaN,NaN,NaN,NaN,NaN
North Macedonia,Post-communist,Upper-Middle,female,Political Empowerment Score,0.2007,NaN,NaN,NaN,NaN,NaN
North Macedonia,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),34.1,33.3,33.3,33.3,34.2,38.3
North Macedonia,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,27.3,29,24,25.3,24,NaN
North Macedonia,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,8.7,8,NaN,NaN,NaN
North Macedonia,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,24.7,26,23,27.3,22.5,NaN
North Macedonia,Post-communist,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
North Macedonia,Post-communist,Upper-Middle,female,Share of female police officers,13,18,NaN,NaN,NaN,NaN
Norway,Europe,High,female,Political Empowerment Score,0.5616,NaN,NaN,NaN,NaN,NaN
Norway,Europe,High,female,Proportion of seats held by women in national parliaments (%),39.6,39.6,39.6,39.6,39.6,41.4
Norway,Europe,High,female,Proportion of women in managerial positions,32.9,35.5,36,37.9,38.3,NaN
Norway,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,47.1,47.1,38.9,NaN,NaN
Norway,Europe,High,female,Proportion of women in senior and middle management positions,31.4,33.3,33.7,35.4,36,NaN
Norway,Europe,High,female,Share of female judges,36,38,38,NaN,NaN,NaN
Norway,Europe,High,female,Share of female police officers,25,27,NaN,NaN,NaN,NaN
Oman,Middle East and North Africa,High,female,Political Empowerment Score,0.0221,NaN,NaN,NaN,NaN,NaN
Oman,Middle East and North Africa,High,female,Proportion of seats held by women in national parliaments (%),1.2,1.2,1.2,1.2,1.2,1.2
Oman,Middle East and North Africa,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,11.1,NaN,NaN
Oman,Middle East and North Africa,High,female,Proportion of women in ministerial level positions (%),NaN,6.7,6.7,6.3,NaN,NaN
Oman,Middle East and North Africa,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Oman,Middle East and North Africa,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Oman,Middle East and North Africa,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Pakistan,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.1487,NaN,NaN,NaN,NaN,NaN
Pakistan,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),20.7,20.7,20.6,20.6,20.6,20.6
Pakistan,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,3,4.2,2.9,2.9,NaN,NaN
Pakistan,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,0,0,0,NaN,NaN
Pakistan,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,4.2,NaN,NaN,NaN,NaN,NaN
Pakistan,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Pakistan,Asia Pacific,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Palau,Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),0,0,0,0,12.5,12.5
Palau,Asia Pacific,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Palau,Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,12.5,12.5,0,NaN,NaN
Palau,Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Palau,Asia Pacific,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Palau,Asia Pacific,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Palau,Asia Pacific,High,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Panama,Americas,High,female,Political Empowerment Score,0.1811,NaN,NaN,NaN,NaN,NaN
Panama,Americas,High,female,Proportion of seats held by women in national parliaments (%),8.5,19.3,18.3,18.3,18.3,18.3
Panama,Americas,High,female,Proportion of women in managerial positions,41.8,42.6,44,42.5,42.7,NaN
Panama,Americas,High,female,Proportion of women in ministerial level positions (%),NaN,31.6,27.8,29.4,NaN,NaN
Panama,Americas,High,female,Proportion of women in senior and middle management positions,40.6,43.5,NaN,NaN,NaN,NaN
Panama,Americas,High,female,Share of female judges,52,53,54,NaN,NaN,NaN
Panama,Americas,High,female,Share of female police officers,13,NaN,NaN,NaN,NaN,NaN
Papua New Guinea,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),2.7,2.7,2.7,2.7,0,0
Papua New Guinea,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Papua New Guinea,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,3.1,3.1,3.1,NaN,NaN
Papua New Guinea,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Papua New Guinea,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Papua New Guinea,Asia Pacific,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Papua New Guinea,Asia Pacific,Lower-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Paraguay,Americas,Upper-Middle,female,Political Empowerment Score,0.0847,NaN,NaN,NaN,NaN,NaN
Paraguay,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),17.5,15,15,15,13.8,15
Paraguay,Americas,Upper-Middle,female,Proportion of women in managerial positions,38.6,33.8,38.7,36.6,34.7,NaN
Paraguay,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,25,7.7,15.4,NaN,NaN
Paraguay,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Paraguay,Americas,Upper-Middle,female,Share of female judges,43,43,47,NaN,NaN,NaN
Paraguay,Americas,Upper-Middle,female,Share of female police officers,7,8,8,NaN,NaN,NaN
Peru,Americas,Upper-Middle,female,Political Empowerment Score,0.1417,NaN,NaN,NaN,NaN,NaN
Peru,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),21.5,22.3,22.3,27.7,27.7,27.7
Peru,Americas,Upper-Middle,female,Proportion of women in managerial positions,32.1,25.5,33.8,33.3,36.8,NaN
Peru,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,44.4,22.2,36.8,NaN,NaN
Peru,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Peru,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Peru,Americas,Upper-Middle,female,Share of female police officers,12,14,15,NaN,NaN,NaN
Philippines,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.376,NaN,NaN,NaN,NaN,NaN
Philippines,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),27.1,27.3,27.2,29.8,29.5,29.5
Philippines,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,47.1,47,46.6,NaN,51.5,NaN
Philippines,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,16,20,25,NaN,NaN
Philippines,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,41.9,41.3,NaN,NaN,23.2,NaN
Philippines,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Philippines,Asia Pacific,Lower-Middle,female,Share of female police officers,13,NaN,NaN,NaN,NaN,NaN
Poland,Post-communist,High,female,Political Empowerment Score,0.1786,NaN,NaN,NaN,NaN,NaN
Poland,Post-communist,High,female,Proportion of seats held by women in national parliaments (%),23.7,24.3,27.4,27.4,28,28
Poland,Post-communist,High,female,Proportion of women in managerial positions,37.8,38.8,40.2,41.2,41.3,NaN
Poland,Post-communist,High,female,Proportion of women in ministerial level positions (%),NaN,16.7,27.8,22.7,NaN,NaN
Poland,Post-communist,High,female,Proportion of women in senior and middle management positions,35.5,36.4,37.4,38.1,38.2,NaN
Poland,Post-communist,High,female,Share of female judges,64,64,63,NaN,NaN,NaN
Poland,Post-communist,High,female,Share of female police officers,15,15,15,NaN,NaN,NaN
Portugal,Europe,High,female,Political Empowerment Score,0.1834,NaN,NaN,NaN,NaN,NaN
Portugal,Europe,High,female,Proportion of seats held by women in national parliaments (%),28.7,31.3,34.8,34.8,34.8,34.8
Portugal,Europe,High,female,Proportion of women in managerial positions,33.8,35.1,32.6,35.9,34.3,NaN
Portugal,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,21.4,28.6,22.2,NaN,NaN
Portugal,Europe,High,female,Proportion of women in senior and middle management positions,27.6,31.8,NaN,32.2,30.4,NaN
Portugal,Europe,High,female,Share of female judges,58,58,59,NaN,NaN,NaN
Portugal,Europe,High,female,Share of female police officers,7,7,NaN,NaN,NaN,NaN
Puerto Rico,Americas,High,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,NaN,NaN,NaN
Puerto Rico,Americas,High,female,Proportion of women in ministerial level positions (%),NaN,NaN,NaN,NaN,NaN,NaN
Puerto Rico,Americas,High,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Puerto Rico,Americas,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Puerto Rico,Americas,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Puerto Rico,Americas,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Puerto Rico,Americas,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Qatar,Middle East and North Africa,High,female,Political Empowerment Score,0,NaN,NaN,NaN,NaN,NaN
Qatar,Middle East and North Africa,High,female,Proportion of seats held by women in national parliaments (%),0,0,0,0,0,9.8
Qatar,Middle East and North Africa,High,female,Proportion of women in managerial positions,12.2,NaN,14.7,14.9,15.1,NaN
Qatar,Middle East and North Africa,High,female,Proportion of women in ministerial level positions (%),NaN,5,5,6.3,NaN,NaN
Qatar,Middle East and North Africa,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Qatar,Middle East and North Africa,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Qatar,Middle East and North Africa,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Romania,Post-communist,Upper-Middle,female,Political Empowerment Score,0.097,NaN,NaN,NaN,NaN,NaN
Romania,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),13.3,13.5,13.7,13.7,20.7,20.7
Romania,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,31.3,31.7,31.5,33.6,30.4,NaN
Romania,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,22.2,14.3,24,NaN,NaN
Romania,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,30.6,30.7,31.5,32.4,30.1,NaN
Romania,Post-communist,Upper-Middle,female,Share of female judges,64,63,63,NaN,NaN,NaN
Romania,Post-communist,Upper-Middle,female,Share of female police officers,14,14,14,NaN,NaN,NaN
Russian Federation,Post-communist,Upper-Middle,female,Political Empowerment Score,0.0951,NaN,NaN,NaN,NaN,NaN
Russian Federation,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),13.6,13.6,13.6,12.7,15.8,15.8
Russian Federation,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,38.4,38.1,38.7,42,41.3,NaN
Russian Federation,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,6.7,6.5,9.7,NaN,NaN
Russian Federation,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,40.4,39.3,NaN
Russian Federation,Post-communist,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Russian Federation,Post-communist,Upper-Middle,female,Share of female police officers,20,20,NaN,NaN,NaN,NaN
Rwanda,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),63.8,63.8,63.8,63.8,61.3,61.3
Rwanda,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,14.1,NaN,NaN,36.3,NaN
Rwanda,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,39.3,35.5,47.4,NaN,NaN
Rwanda,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,36.3,NaN
Rwanda,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Rwanda,Sub Saharan Africa,Low,female,Share of female police officers,30,NaN,NaN,NaN,NaN,NaN
Rwanda,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Saint Lucia,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),16.7,16.7,16.7,16.7,16.7,16.7
Saint Lucia,Americas,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Saint Lucia,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,15.4,15.4,27.3,NaN,NaN
Saint Lucia,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Saint Lucia,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Saint Lucia,Americas,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Saint Lucia,Americas,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Samoa,Asia Pacific,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),4.1,6.1,6.1,10,10,10
Samoa,Asia Pacific,Upper-Middle,female,Proportion of women in managerial positions,NaN,47.3,NaN,NaN,43.1,NaN
Samoa,Asia Pacific,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,7.7,7.7,15.4,NaN,NaN
Samoa,Asia Pacific,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Samoa,Asia Pacific,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Samoa,Asia Pacific,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Samoa,Asia Pacific,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
San Marino,Europe,High,female,Proportion of seats held by women in national parliaments (%),18.3,18.3,16.7,16.7,26.7,26.7
San Marino,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,0,11.1,0,NaN,NaN
San Marino,Europe,High,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
San Marino,Europe,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
San Marino,Europe,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
San Marino,Europe,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
